,geneSymbol,moduleColor,GS.morphology,p.GS.morphology,MM.blue,p.MM.blue,MM.turquoise,p.MM.turquoise,MM.grey,p.MM.grey
hsa-mir-376a-2,hsa-mir-376a-2,blue,-0.273783239,0.000543455,0.596514943,2.09E-16,0.180011262,0.024534189,0.118953503,0.139130588
hsa-mir-323,hsa-mir-323,blue,-0.237337349,0.002852073,0.882403966,2.72E-52,0.322785582,3.96E-05,0.32307975,3.89E-05
hsa-mir-323b,hsa-mir-323b,blue,-0.235186231,0.003122433,0.788576778,2.45E-34,0.280039922,0.000399096,0.171339968,0.032462751
hsa-mir-514-1,hsa-mir-514-1,blue,-0.23006791,0.00386102,0.53852069,4.13E-13,0.114181918,0.155809164,-0.014370396,0.858682247
hsa-mir-508,hsa-mir-508,blue,-0.21909359,0.005997126,0.530698224,1.03E-12,0.109342417,0.174216147,-0.002359614,0.976677495
hsa-mir-329-2,hsa-mir-329-2,blue,-0.218600947,0.006113971,0.769595549,8.27E-32,0.334435942,1.98E-05,0.11625333,0.148393045
hsa-mir-514-2,hsa-mir-514-2,blue,-0.217810336,0.006305735,0.54058081,3.24E-13,0.148918898,0.063539557,-0.008984571,0.911364985
hsa-mir-509-2,hsa-mir-509-2,blue,-0.214620881,0.007134907,0.487713533,1.06E-10,0.097995706,0.22358372,0.000357063,0.996470294
hsa-mir-514-3,hsa-mir-514-3,blue,-0.213227626,0.007526572,0.537481702,4.68E-13,0.131195247,0.102571343,-0.005182117,0.948807389
hsa-mir-485,hsa-mir-485,blue,-0.211165853,0.008141209,0.861294882,3.87E-47,0.443189059,6.88E-09,0.187404572,0.019147229
hsa-mir-329-1,hsa-mir-329-1,blue,-0.210854623,0.008237755,0.737555398,4.77E-28,0.362265755,3.37E-06,0.029116947,0.718232326
hsa-mir-202,hsa-mir-202,blue,-0.207594527,0.009311682,0.546134145,1.66E-13,0.018759892,0.816190859,-0.011247025,0.889173639
hsa-mir-494,hsa-mir-494,blue,-0.18849627,0.018445679,0.622657324,4.03E-18,0.303148,0.000119677,0.180430467,0.024197216
hsa-mir-487a,hsa-mir-487a,blue,-0.185547615,0.02039366,0.832227857,2.75E-41,0.390273253,4.74E-07,0.160675012,0.045099171
hsa-mir-1264,hsa-mir-1264,blue,-0.180909406,0.023817097,0.513478952,7.15E-12,0.004077577,0.959708386,-0.027551929,0.732786894
hsa-mir-412,hsa-mir-412,blue,-0.179599319,0.024869239,0.696336725,6.00E-24,0.188669114,0.018336673,0.226872257,0.004398409
hsa-mir-431,hsa-mir-431,blue,-0.174115912,0.02971642,0.893274908,2.39E-55,0.404430779,1.64E-07,0.246297977,0.001939064
hsa-mir-654,hsa-mir-654,blue,-0.166447217,0.037827896,0.699497006,3.08E-24,0.349583567,7.71E-06,0.158743447,0.047779062
hsa-mir-376c,hsa-mir-376c,blue,-0.16409418,0.040663092,0.795321986,2.67E-35,0.4651978,9.44E-10,0.214074059,0.007286413
hsa-mir-376b,hsa-mir-376b,blue,-0.16176582,0.043642018,0.620744842,5.44E-18,0.253750313,0.001391865,0.098633532,0.22056992
hsa-mir-1185-2,hsa-mir-1185-2,blue,-0.160497839,0.045339639,0.527237975,1.54E-12,0.280936939,0.000381588,0.083084028,0.302467044
hsa-mir-495,hsa-mir-495,blue,-0.160268386,0.045652653,0.858830424,1.36E-46,0.397236933,2.83E-07,0.143116776,0.07469406
hsa-mir-377,hsa-mir-377,blue,-0.157981585,0.048871919,0.851577274,4.81E-45,0.43352281,1.58E-08,0.197089118,0.013659973
hsa-mir-539,hsa-mir-539,blue,-0.154355972,0.054361227,0.875081323,2.13E-50,0.384169818,7.38E-07,0.248853103,0.001732603
hsa-mir-409,hsa-mir-409,blue,-0.148939574,0.063502391,0.926080947,4.51E-67,0.580921902,1.87E-15,0.244860799,0.002064787
hsa-mir-376a-1,hsa-mir-376a-1,blue,-0.148868276,0.063630627,0.729292461,3.64E-27,0.350620529,7.21E-06,0.223336907,0.005070329
hsa-mir-154,hsa-mir-154,blue,-0.148620462,0.06407799,0.876610198,8.75E-51,0.501668719,2.54E-11,0.299668448,0.00014442
hsa-mir-543,hsa-mir-543,blue,-0.143787474,0.073328795,0.855123651,8.63E-46,0.497108236,4.08E-11,0.143969858,0.072961052
hsa-mir-134,hsa-mir-134,blue,-0.139845742,0.081649961,0.767887303,1.36E-31,0.501208233,2.66E-11,0.247704546,0.001822798
hsa-mir-370,hsa-mir-370,blue,-0.136025855,0.09042167,0.906050645,2.15E-59,0.512451707,8.00E-12,0.1837431,0.021671417
